testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,4.3648e-05,3.7664e-05,5.2096e-05,3.904e-05,3.7792e-05,4.064e-05,2.8010666666666666e-05,2.5376e-05,3.1328e-05
1,9.514666666666667e-06,8.896e-06,9.856e-06,8.906666666666667e-06,8.512e-06,9.664e-06,8.394666666666666e-06,8.224e-06,8.672e-06
2,5.4848e-05,4.064e-05,6.3104e-05,4.5536e-05,3.5136e-05,6.0832e-05,3.834666666666667e-05,3.312e-05,4.6208e-05
3,2.5696000000000003e-05,2.1376e-05,2.8928e-05,2.3786666666666664e-05,1.9872e-05,2.9568e-05,1.7866666666666666e-05,1.7664e-05,1.8144e-05
4,3.157333333333333e-05,2.6592e-05,4.0352e-05,3.201066666666667e-05,2.672e-05,4.0384e-05,1.9104e-05,1.7792e-05,2e-05
5,8.180266666666667e-05,6.512e-05,9.8272e-05,7.2864e-05,6.5824e-05,8.4352e-05,4.357333333333333e-05,3.7152e-05,5.4208e-05
6,2.9120000000000002e-05,2.496e-05,3.712e-05,2.2592e-05,2.0448e-05,2.4864e-05,1.655466666666667e-05,1.5872e-05,1.7184e-05
7,4.481066666666667e-05,3.5264e-05,5.1136e-05,4.4789333333333335e-05,3.5072e-05,5.1136e-05,2.6719999999999998e-05,2.4288e-05,2.8352e-05
8,0.00013690666666666667,0.000122272,0.000165248,0.00010686933333333333,7.9648e-05,0.000149216,5.862399999999999e-05,5.4208e-05,6.1344e-05
9,3.608533333333333e-05,3.184e-05,3.9232e-05,3.211733333333333e-05,2.832e-05,3.4624e-05,2.4597333333333333e-05,2.1632e-05,2.7072e-05
10,5.872e-05,4.8e-05,6.864e-05,4.536533333333333e-05,4.384e-05,4.8224e-05,4.3434666666666666e-05,4.2784e-05,4.3936e-05
11,0.00015678933333333333,0.000135584,0.000170656,0.00014388266666666666,0.000132512,0.00016416,0.00010296533333333334,9.44e-05,0.00010768
12,4.2688e-05,3.7408e-05,4.768e-05,3.6928e-05,3.3856e-05,4.0192e-05,3.3376e-05,3.1424e-05,3.7216e-05
