testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,8.548266666666666e-05,7.6e-05,9.7376e-05,8.136533333333334e-05,7.6352e-05,8.4224e-05,5.7632e-05,5.696e-05,5.8368e-05
1,0.00029396266666666663,0.00025696,0.000321728,0.00027400533333333334,0.000256768,0.00030512,0.00019309866666666667,0.000184256,0.000198016
2,0.000302176,0.000278624,0.000326592,0.00029613866666666663,0.000280576,0.000305824,0.00020161066666666668,0.000182304,0.000224832
3,5.6693333333333335e-05,4.9888e-05,6.064e-05,4.772266666666666e-05,4.4e-05,5.5072e-05,3.371733333333334e-05,2.7936e-05,3.7824e-05
4,0.00036485333333333337,0.000320032,0.000399424,0.00035217066666666665,0.000320544,0.000377696,0.000256608,0.000241856,0.000267968
5,5.1850666666666675e-05,4.2624e-05,6.176e-05,4.5632000000000006e-05,3.9808e-05,5.1296e-05,3.8656000000000004e-05,3.7984e-05,3.9072e-05
6,0.00044163199999999996,0.00026096,0.00065088,0.00033959466666666667,0.0002608,0.000393568,0.0002826453333333333,0.000221632,0.000331008
7,8.212266666666667e-05,7.9136e-05,8.528e-05,6.1824e-05,5.8528e-05,6.6432e-05,5.131733333333334e-05,4.9088e-05,5.5072e-05
8,0.0012570773333333335,0.001155264,0.001321504,0.001102912,0.000913216,0.001240672,0.0008135999999999999,0.000757504,0.000845952
9,0.0008101653333333333,0.000492768,0.001145536,0.00058048,0.000485664,0.000654176,0.00037818666666666667,0.000279936,0.000431392
10,0.00012728533333333333,0.000110176,0.000142912,0.00010784,9.632e-05,0.00012512,9.8944e-05,9.0464e-05,0.000115616
