testcase,top1,top50,top1 compile time,top50 end2end time
0,8.531000000000001e-05,4.166e-05,0.00121307373046875,49.324440479278564
1,1.702e-05,9.5e-06,0.0017821788787841797,64.79048728942871
2,0.00012038,6.848e-05,0.0012323856353759766,49.354766607284546
3,2.512e-05,1.565e-05,0.0012235641479492188,48.53836703300476
4,6.614e-05,3.062e-05,0.001237630844116211,46.58371639251709
5,0.00034450999999999997,0.00010323,0.0012226104736328125,46.775269508361816
6,4.442e-05,2.6530000000000002e-05,0.0012197494506835938,61.23373246192932
7,6.726e-05,3.216e-05,0.0012187957763671875,45.11594772338867
8,0.00027981,0.00012048,0.0012428760528564453,45.29923415184021
9,0.00040678,5.0299999999999996e-05,0.0012335777282714844,44.492252826690674
10,0.00013005000000000002,4.5310000000000005e-05,0.001220703125,45.07982802391052
11,0.00126,0.00015952000000000002,0.0012183189392089844,46.077712059020996
12,0.00047814,5.9970000000000004e-05,0.0012025833129882812,45.73944067955017
