testcase,top1,top50,top1 compile time,top50 end2end time
0,0.00019594,6.662000000000001e-05,0.0012116432189941406,53.25091862678528
1,0.00093728,0.00023181000000000002,0.0012202262878417969,48.59819960594177
2,0.00032339,0.00024249999999999999,0.0012059211730957031,47.964216470718384
3,0.00011632,3.862e-05,0.0012145042419433594,47.85527992248535
4,0.00115,0.00052346,0.0012054443359375,45.852211475372314
5,7.795000000000001e-05,5.398e-05,0.0011930465698242188,52.460044622421265
6,1e+97,0.00155,0.0012044906616210938,40.8124041557312
7,0.0001105,7.529999999999999e-05,0.0012331008911132812,96.16800427436829
9,1e+97,0.00147,0.0012202262878417969,43.42198657989502
10,0.00015248,8.218e-05,0.0012137889862060547,49.13731789588928
