testcase,mean,min,max
0,6.732666666666667e-05,6.662000000000001e-05,6.797e-05
1,0.0002325566666666667,0.00023168,0.00023418
2,0.00024195333333326666,0.0002412499999999,0.0002424999999999
3,3.78e-05,3.712e-05,3.862e-05
4,0.0005236266666666667,0.00052346,0.00052387
5,5.4186666666666674e-05,5.398e-05,5.4560000000000006e-05
6,0.00155,0.00155,0.00155
7,7.522333333333333e-05,7.514e-05,7.529999999999999e-05
8,0.00172,0.00172,0.00172
9,0.00147,0.00147,0.00147
10,8.227333333333334e-05,8.208e-05,8.256000000000001e-05
