testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,1.3866666666666667e-05,1.3056e-05,1.4624e-05,1.4506666666666668e-05,1.36e-05,1.5264e-05,1.6533333333333333e-05,1.2416e-05,1.872e-05
1,5.109333333333333e-06,5.056e-06,5.216e-06,5.002666666666666e-06,4.736e-06,5.312e-06,4.917333333333334e-06,4.736e-06,5.12e-06
2,1.7685333333333335e-05,1.6576e-05,1.856e-05,1.7728e-05,1.6512e-05,1.8656e-05,1.4869333333333332e-05,1.3664e-05,1.5584e-05
3,9.354666666666667e-06,8.224e-06,1.0592e-05,8.917333333333332e-06,8e-06,1.0656e-05,7.850666666666668e-06,7.52e-06,8.448e-06
4,1.2693333333333334e-05,1.2288e-05,1.3056e-05,1.2789333333333331e-05,1.2192e-05,1.312e-05,9.930666666666668e-06,9.856e-06,9.984e-06
5,2.8437333333333333e-05,2.3392e-05,3.1072e-05,2.3264e-05,2.2208e-05,2.4224e-05,1.9104e-05,1.6992e-05,2.1408e-05
6,8.810666666666667e-06,8.192e-06,9.472e-06,8.757333333333333e-06,8.096e-06,9.152e-06,8.128e-06,8.064e-06,8.192e-06
7,1.8325333333333332e-05,1.3952e-05,2.1408e-05,1.8432e-05,1.4048e-05,2.1248e-05,1.4346666666666668e-05,1.264e-05,1.6736e-05
8,4.104533333333334e-05,3.312e-05,5.2416e-05,3.605333333333333e-05,3.088e-05,4.4928e-05,2.9482666666666668e-05,2.5824e-05,3.2864e-05
9,1.1594666666666666e-05,1.0944e-05,1.2128e-05,1.1488e-05,1.1104e-05,1.2128e-05,1.1008e-05,1.0912e-05,1.1072e-05
10,2.8682666666666666e-05,2.0064e-05,3.536e-05,1.9936e-05,1.9712e-05,2.0224e-05,1.9904e-05,1.9648e-05,2.0096e-05
11,5.857066666666667e-05,5.3696e-05,6.1216e-05,4.8490666666666666e-05,4.4448e-05,5.4912e-05,4.298666666666667e-05,4.2496e-05,4.3968e-05
12,1.6256e-05,1.52e-05,1.7536e-05,1.5232000000000001e-05,1.5104e-05,1.5392e-05,1.5626666666666667e-05,1.5424e-05,1.584e-05
