testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,2.9461333333333332e-05,2.5824e-05,3.1936e-05,2.8896e-05,2.592e-05,3.184e-05,2.6485333333333332e-05,2.576e-05,2.7776e-05
1,0.00010321066666666666,8.3712e-05,0.000117952,9.304533333333335e-05,7.8144e-05,0.000116512,7.747199999999999e-05,7.4144e-05,7.952e-05
2,0.00012052266666666666,0.00010224,0.000136864,9.403733333333333e-05,8.4128e-05,0.000102144,8.187733333333334e-05,8.0544e-05,8.2624e-05
3,2.2048e-05,1.8592e-05,2.6368e-05,1.9050666666666667e-05,1.8432e-05,1.9872e-05,1.8687999999999998e-05,1.8208e-05,1.8976e-05
4,0.00013080533333333335,0.00010544,0.000146112,0.000124736,0.000104448,0.000143584,0.00010029866666666666,9.3184e-05,0.000112672
5,2.4042666666666666e-05,2.224e-05,2.656e-05,2.176e-05,2.1472e-05,2.2208e-05,1.984e-05,1.8656e-05,2.1376e-05
6,0.00014869333333333333,0.000131168,0.000159584,0.00013712,0.000121536,0.000152416,0.00012964266666666666,0.000122592,0.000140352
7,3.1519999999999996e-05,3.12e-05,3.1744e-05,2.9525333333333333e-05,2.7936e-05,3.0816e-05,2.4032000000000003e-05,2.3872e-05,2.4128e-05
8,0.00044144,0.000421056,0.00046352,0.000408544,0.0004016,0.000415808,0.0003630933333333333,0.000345568,0.000389888
9,0.00025597866666666666,0.000198016,0.000316704,0.000229088,0.000167424,0.000316512,0.00018910933333333332,0.00017552,0.000209824
10,5.7823999999999994e-05,5.248e-05,6.3776e-05,5.378133333333333e-05,5.2e-05,5.4752e-05,5.467733333333333e-05,5.2032e-05,5.76e-05
