testcase,mean,min,max
0,1.7193333333333334e-05,1.712e-05,1.734e-05
1,6.1533333333333334e-06,6.08e-06,6.24e-06
2,2.6163333333333334e-05,2.608e-05,2.627e-05
3,7.966666666666668e-06,7.9e-06,8.1e-06
4,1.3653333333333334e-05,1.3630000000000002e-05,1.37e-05
5,4.376666666666666e-05,4.371e-05,4.381e-05
6,1.3133333333333334e-05,1.29e-05,1.341e-05
7,1.5903333333333334e-05,1.584e-05,1.6e-05
8,4.711666666666666e-05,4.701e-05,4.720000000000001e-05
9,2.243e-05,2.23e-05,2.259e-05
10,2.6080000000000004e-05,2.608e-05,2.608e-05
11,8.136666666666666e-05,8.112000000000001e-05,8.154e-05
12,2.3636666666666667e-05,2.355e-05,2.371e-05
