testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,1.9242666666666668e-05,1.696e-05,2.0544e-05,1.7952e-05,1.6704e-05,2.0256e-05,1.4517333333333332e-05,1.2576e-05,1.6896e-05
1,6.570666666666667e-06,5.856e-06,7.872e-06,6.1653333333333335e-06,5.76e-06,6.816e-06,4.906666666666667e-06,4.48e-06,5.344e-06
2,3.7856e-05,2.9472e-05,5.264e-05,2.9888e-05,2.6176e-05,3.1904e-05,1.9306666666666666e-05,1.7472e-05,2.144e-05
3,1.2138666666666666e-05,1.1264e-05,1.2608e-05,1.1711999999999999e-05,1.1232e-05,1.2512e-05,8.469333333333332e-06,7.488e-06,9.088e-06
4,2.2528000000000002e-05,1.7376e-05,3.2512e-05,2.065066666666667e-05,1.648e-05,2.8192e-05,1.1648e-05,1.0752e-05,1.2608e-05
5,4.7872e-05,4.1824e-05,5.968e-05,4.674133333333333e-05,3.6288e-05,6.1824e-05,2.2624000000000002e-05,1.8624e-05,2.6464e-05
6,1.5338666666666666e-05,1.2256e-05,1.7376e-05,1.3813333333333332e-05,1.152e-05,1.7312e-05,9.525333333333334e-06,8.128e-06,1.1072e-05
7,3.6479999999999996e-05,2.6368e-05,5.4944e-05,2.0981333333333332e-05,1.6448e-05,2.8064e-05,1.36e-05,1.1904e-05,1.5648e-05
8,8.7328e-05,4.3904e-05,0.000115296,7.172266666666667e-05,4.384e-05,0.000102272,3.4464e-05,3.184e-05,3.7568e-05
9,1.504e-05,1.408e-05,1.5968e-05,1.3386666666666667e-05,1.1936e-05,1.4144e-05,1.2501333333333333e-05,1.1936e-05,1.3056e-05
10,3.738666666666667e-05,3.4016e-05,4.0224e-05,2.7381333333333335e-05,2.1376e-05,3.6224e-05,1.9765333333333332e-05,1.9264e-05,2.0256e-05
11,9.0656e-05,8.208e-05,0.000102944,9.136e-05,8.2528e-05,0.000102976,4.401066666666667e-05,4.096e-05,4.8864e-05
12,2.6773333333333333e-05,2.5472e-05,2.8928e-05,2.3605333333333333e-05,2.0352e-05,2.5984e-05,1.943466666666667e-05,1.6e-05,2.448e-05
