testcase,1,2,3,4,5,10,20,best
0,1.39295e-05,1.39295e-05,1.39295e-05,1.39295e-05,1.39295e-05,9.70042e-06,,9.70042e-06
1,4.31149e-06,3.30441e-06,3.29946e-06,3.17947e-06,3.1719e-06,3.13928e-06,,3.13928e-06
2,2.01682e-05,1.35144e-05,1.35144e-05,1.35144e-05,1.35144e-05,1.11168e-05,,1.11168e-05
3,6.33917e-06,5.73202e-06,5.73202e-06,5.73202e-06,5.73202e-06,5.73202e-06,,5.73202e-06
4,8.19452e-06,8.19452e-06,8.17986e-06,8.17986e-06,8.17986e-06,,,7.48078e-06
5,2.06432e-05,1.49267e-05,1.45555e-05,1.45311e-05,1.45311e-05,1.45311e-05,,1.28256e-05
6,6.64446e-06,6.64446e-06,6.64446e-06,6.64446e-06,6.64446e-06,6.40403e-06,,6.40403e-06
7,8.92522e-06,8.92522e-06,8.92522e-06,8.92522e-06,8.92522e-06,,,8.92522e-06
8,4.32739e-05,2.84575e-05,2.84268e-05,2.82501e-05,2.82501e-05,2.64532e-05,,2.40616e-05
9,8.44325e-06,8.44325e-06,8.44325e-06,8.44325e-06,8.44325e-06,8.36816e-06,,8.36816e-06
10,1.62645e-05,1.49544e-05,1.48277e-05,1.48277e-05,,,,1.48277e-05
11,4.1552e-05,3.46253e-05,3.46253e-05,3.46253e-05,3.34785e-05,,,3.23403e-05
12,1.38711e-05,1.21005e-05,1.21005e-05,1.21005e-05,,,,1.21005e-05
