testcase,1,2,3,4,5,10,20,best
0,3.11011e-05,2.287e-05,2.27314e-05,2.27314e-05,2.27314e-05,2.17781e-05,,2.17781e-05
1,7.01922e-05,6.67145e-05,6.67145e-05,6.67145e-05,6.67145e-05,6.51161e-05,,6.51161e-05
2,8.79495e-05,8.552e-05,8.552e-05,8.552e-05,8.552e-05,7.95837e-05,,7.11136e-05
3,1.59547e-05,1.39054e-05,1.3874e-05,1.33804e-05,1.33804e-05,1.33804e-05,,1.33804e-05
4,0.000100146,9.85829e-05,9.85829e-05,9.85829e-05,9.58857e-05,9.49157e-05,,9.44276e-05
5,2.14164e-05,1.70956e-05,1.70956e-05,1.70956e-05,1.70956e-05,1.53191e-05,,1.53191e-05
6,0.000163366,0.000138329,0.000138329,0.000138329,0.000138329,0.00013193,,0.000119723
7,2.9158e-05,2.82461e-05,2.82461e-05,2.64695e-05,2.64695e-05,,,2.42384e-05
8,0.000357512,0.00033617,0.00033617,0.00033617,0.000321487,0.000304902,,0.000303109
9,0.000139297,0.000139297,0.000139297,0.000139297,,,,0.000139297
10,4.46571e-05,4.37725e-05,4.37725e-05,4.37725e-05,4.37725e-05,,,4.37725e-05
