testcase,1,2,best,Run,testcase,1,2,best,Run,testcase,1,2,best,Run,Experiment
0,2.976e-05,2.5792e-05,2.5792e-05,0,0,3.936e-05,3.392e-05,2.6624e-05,1,0,2.7072e-05,2.32e-05,2.2048e-05,2,mm
1,0.000378752,0.00037792,0.000339744,0,1,0.000403488,0.000343904,0.000287968,1,1,0.00036608,0.000348864,0.000324416,2,mm
2,2.4448e-05,1.9616e-05,1.8336e-05,0,2,3.8208e-05,2.016e-05,1.84e-05,1,2,2.9472e-05,2.5856e-05,1.8432e-05,2,mm
3,0.000212768,0.00020528,0.000181408,0,3,0.000248608,0.000228448,0.000174144,1,3,0.000237376,0.000206304,0.000187232,2,mm
4,0.000460256,0.000385568,0.000352832,0,4,0.000534912,0.000522464,0.000368128,1,4,0.000417408,0.00041632,0.000352608,2,mm
5,0.00035904,0.000339488,0.00022256,0,5,0.000381504,0.000292704,0.000263168,1,5,0.000349184,0.000293408,0.000233088,2,mm
0,3.7664e-05,3.7664e-05,2.7328e-05,0,0,4.1184e-05,4.064e-05,3.1328e-05,1,0,5.2096e-05,3.8688e-05,2.5376e-05,2,resnet
1,9.792e-06,8.512e-06,8.224e-06,0,1,9.856e-06,9.664e-06,8.288e-06,1,1,8.896e-06,8.544e-06,8.544e-06,2,resnet
2,6.3104e-05,3.5136e-05,3.312e-05,0,2,4.064e-05,4.064e-05,3.5712e-05,1,2,6.08e-05,6.08e-05,4.6208e-05,2,resnet
3,2.1376e-05,2.1376e-05,1.7792e-05,0,3,2.8928e-05,2.8928e-05,1.8144e-05,1,3,2.6784e-05,1.9872e-05,1.7664e-05,2,resnet
4,2.6592e-05,2.6592e-05,1.952e-05,0,4,2.7776e-05,2.7776e-05,1.7792e-05,1,4,4.0352e-05,4.0352e-05,2e-05,2,resnet
5,6.512e-05,6.512e-05,3.936e-05,0,5,8.2016e-05,6.8416e-05,3.7152e-05,1,5,9.8272e-05,8.4352e-05,5.4208e-05,2,resnet
6,3.712e-05,2.2464e-05,1.7184e-05,0,6,2.528e-05,2.0448e-05,1.6608e-05,1,6,2.496e-05,2.4864e-05,1.5872e-05,2,resnet
7,4.8032e-05,4.8032e-05,2.4288e-05,0,7,5.1136e-05,5.1136e-05,2.8352e-05,1,7,3.5264e-05,3.5072e-05,2.752e-05,2,resnet
8,0.0001232,9.1744e-05,6.1344e-05,0,8,0.000122272,7.9648e-05,6.032e-05,1,8,0.000165248,0.000149216,5.4208e-05,2,resnet
9,3.7184e-05,3.3408e-05,2.7072e-05,0,9,3.9232e-05,3.4624e-05,2.5088e-05,1,9,3.184e-05,2.832e-05,2.1632e-05,2,resnet
10,6.864e-05,4.384e-05,4.2784e-05,0,10,5.952e-05,4.8224e-05,4.3584e-05,1,10,4.8e-05,4.4032e-05,4.3936e-05,2,resnet
11,0.000164128,0.000164128,0.00010768,0,11,0.000170656,0.000132512,0.000106816,1,11,0.000135584,0.000134976,9.44e-05,2,resnet
12,3.7408e-05,3.6736e-05,3.6736e-05,0,12,4.768e-05,3.3856e-05,3.1488e-05,1,12,4.2976e-05,4.0192e-05,3.1424e-05,2,resnet
0,8.3072e-05,8.3072e-05,5.696e-05,0,0,7.6e-05,7.6e-05,5.8368e-05,1,0,9.7376e-05,8.4224e-05,5.7568e-05,2,yolo
1,0.0003032,0.0003032,0.000197024,0,1,0.000321728,0.000260128,0.000198016,1,1,0.00025696,0.000256768,0.000184256,2,yolo
2,0.000326592,0.000305824,0.000224832,0,2,0.000301312,0.000301312,0.000197696,1,2,0.000278624,0.000278624,0.000182304,2,yolo
3,4.9888e-05,4.4096e-05,2.7936e-05,0,3,6.064e-05,5.5072e-05,3.7824e-05,1,3,5.9552e-05,4.4e-05,3.5392e-05,2,yolo
4,0.000375104,0.000375104,0.000241856,0,4,0.000399424,0.000358272,0.00026,1,4,0.000320032,0.000320032,0.000267968,2,yolo
5,6.176e-05,4.5792e-05,3.8912e-05,0,5,4.2624e-05,3.9808e-05,3.9072e-05,1,5,5.1168e-05,5.1168e-05,3.7984e-05,2,yolo
6,0.00026096,0.0002608,0.000221632,0,6,0.00065088,0.000364416,0.000295296,1,6,0.000413056,0.000393568,0.000331008,2,yolo
7,8.1952e-05,6.6432e-05,5.5072e-05,0,7,7.9136e-05,6.0512e-05,4.9088e-05,1,7,8.528e-05,5.8528e-05,4.9792e-05,2,yolo
8,0.001321504,0.001240672,0.000845952,0,8,0.001155264,0.001154848,0.000837344,1,8,0.001294464,0.000913216,0.000757504,2,yolo
9,0.000792192,0.0006016,0.000423232,0,9,0.000492768,0.000485664,0.000279936,1,9,0.001145536,0.000654176,0.000431392,2,yolo
10,0.000110176,0.00010208,9.0752e-05,0,10,0.000142912,0.00012512,0.000115616,1,10,0.000128768,9.632e-05,9.0464e-05,2,yolo
