testcase,1,2,best,Run,testcase,1,2,best,Run,testcase,1,2,best,Run,Experiment
0,2.2944e-05,2.1152e-05,2.1024e-05,0,0,2.6592e-05,2.1344e-05,2.128e-05,1,0,2.2272e-05,2.0992e-05,2.0992e-05,2,mm
1,0.000312,0.000312,0.000297952,0,1,0.00030656,0.000294848,0.000293696,1,1,0.000348288,0.00029776,0.000295584,2,mm
2,1.7344e-05,1.728e-05,1.6992e-05,0,2,1.8976e-05,1.8624e-05,1.6896e-05,1,2,1.936e-05,1.68e-05,1.68e-05,2,mm
3,0.000189088,0.000170752,0.000170752,0,3,0.000163616,0.000163616,0.000162272,1,3,0.00018208,0.000181824,0.000161824,2,mm
4,0.000405824,0.00040496,0.000352032,0,4,0.000333408,0.000329536,0.000327872,1,4,0.000333696,0.000330016,0.000330016,2,mm
5,0.000247424,0.000247424,0.000239168,0,5,0.000266624,0.000247968,0.000247232,1,5,0.000253376,0.000252288,0.000252,2,mm
0,3.4304e-05,2.6016e-05,2.4736e-05,0,0,2.8192e-05,2.8192e-05,2.8128e-05,1,0,3.2992e-05,2.9984e-05,2.4928e-05,2,resnet
1,8.128e-06,8.128e-06,7.648e-06,0,1,9.472e-06,7.68e-06,7.68e-06,1,1,9.472e-06,8.032e-06,7.84e-06,2,resnet
2,3.472e-05,3.3056e-05,3.0336e-05,0,2,3.9072e-05,3.5168e-05,2.96e-05,1,2,3.0368e-05,2.8672e-05,2.8672e-05,2,resnet
3,1.6448e-05,1.5296e-05,1.5136e-05,0,3,1.6e-05,1.6e-05,1.4944e-05,1,3,2.0032e-05,1.568e-05,1.5104e-05,2,resnet
4,2.4512e-05,2.4512e-05,1.9648e-05,0,4,2.4672e-05,2.1408e-05,2.1408e-05,1,4,2.2688e-05,2.2688e-05,2.0288e-05,2,resnet
5,4.3424e-05,4.336e-05,3.4656e-05,0,5,3.92e-05,3.92e-05,3.7664e-05,1,5,5.136e-05,3.9712e-05,3.5712e-05,2,resnet
6,1.9616e-05,1.6288e-05,1.6256e-05,0,6,1.7056e-05,1.7056e-05,1.6672e-05,1,6,1.68e-05,1.6704e-05,1.6544e-05,2,resnet
7,3.3472e-05,3.3472e-05,2.4288e-05,0,7,2.6208e-05,2.5952e-05,2.4032e-05,1,7,2.5568e-05,2.5088e-05,2.5088e-05,2,resnet
8,6.3168e-05,6.288e-05,5.2608e-05,0,8,6.1696e-05,6.1696e-05,5.3056e-05,1,8,7.3664e-05,5.4784e-05,5.312e-05,2,resnet
9,2.3584e-05,2.3584e-05,2.1216e-05,0,9,2.3936e-05,2.1888e-05,2.1888e-05,1,9,2.3552e-05,2.1056e-05,2.1056e-05,2,resnet
10,4.2624e-05,3.8272e-05,3.8144e-05,0,10,4.2816e-05,3.9104e-05,3.9072e-05,1,10,6.7808e-05,4.1696e-05,4.112e-05,2,resnet
11,0.000116448,0.00011616,0.00011616,0,11,0.000102752,0.000102624,8.4576e-05,1,11,0.000105216,9.2416e-05,9.2384e-05,2,resnet
12,3.3728e-05,3.2768e-05,3.1232e-05,0,12,3.9008e-05,3.8816e-05,3.1008e-05,1,12,3.2928e-05,3.1488e-05,3.1136e-05,2,resnet
0,6.3136e-05,5.7184e-05,5.6992e-05,0,0,7.5328e-05,6.5504e-05,5.664e-05,1,0,7.2448e-05,6.4448e-05,6.2464e-05,2,yolo
1,0.000190944,0.000190208,0.000168896,0,1,0.000185856,0.0001816,0.000176096,1,1,0.000183872,0.0001824,0.0001824,2,yolo
2,0.000188416,0.000174304,0.000174304,0,2,0.0002496,0.000212992,0.000201216,1,2,0.000191104,0.000191104,0.000191104,2,yolo
3,3.4976e-05,3.2672e-05,3.2672e-05,0,3,3.2768e-05,3.2768e-05,3.2352e-05,1,3,3.008e-05,3.008e-05,3.008e-05,2,yolo
4,0.00023184,0.000218176,0.000218176,0,4,0.000220352,0.00021872,0.000197664,1,4,0.00024912,0.000245664,0.000216192,2,yolo
5,4.2368e-05,4.2336e-05,4.0832e-05,0,5,4.9504e-05,4.3776e-05,3.9296e-05,1,5,4.1024e-05,3.9712e-05,3.9712e-05,2,yolo
6,0.000323584,0.0003176,0.000273728,0,6,0.00034656,0.000306912,0.000246592,1,6,0.000296064,0.000291968,0.000242208,2,yolo
7,5.2704e-05,4.7616e-05,4.6688e-05,0,7,5.7984e-05,5.7984e-05,4.7744e-05,1,7,4.6176e-05,4.5792e-05,4.5792e-05,2,yolo
8,0.000754528,0.000750848,0.000727776,0,8,0.000832736,0.000832032,0.000740512,1,8,0.00073024,0.000726144,0.00068592,2,yolo
9,0.000464544,0.000433312,0.000305024,0,9,0.000360512,0.000279712,0.0002792,1,9,0.000452384,0.000452384,0.000452384,2,yolo
10,7.904e-05,7.8752e-05,7.8752e-05,0,10,9.8144e-05,9.8016e-05,7.7952e-05,1,10,0.00010816,0.00010816,9.6672e-05,2,yolo
