testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,5.3504e-05,5.0112e-05,5.9072e-05,4.599466666666667e-05,3.8368e-05,5.0272e-05,3.1893333333333335e-05,2.8352e-05,3.7056e-05
1,0.00014488533333333333,0.000129056,0.000163008,0.00014411733333333332,0.000126048,0.000162848,0.00010405333333333334,9.9808e-05,0.000111328
2,0.000150368,0.000142368,0.000161312,0.000150944,0.000143072,0.000161184,9.845333333333333e-05,8.96e-05,0.000107904
3,3.1146666666666664e-05,2.912e-05,3.3344e-05,2.7584e-05,2.3104e-05,3.216e-05,2.2581333333333337e-05,1.9456e-05,2.8288e-05
4,0.000199232,0.000168192,0.00024496,0.00018404266666666668,0.000167968,0.000200256,0.00011388799999999999,0.00010496,0.000121504
5,3.482666666666667e-05,3.1648e-05,3.8496e-05,3.538133333333333e-05,3.2832e-05,3.872e-05,2.6026666666666666e-05,2.5056e-05,2.6656e-05
6,0.000352768,0.000241472,0.0005232,0.00024489600000000004,0.000217312,0.000278752,0.00016177066666666666,0.000139456,0.000204448
7,4.4949333333333333e-05,4.2368e-05,4.7104e-05,3.7408e-05,3.616e-05,3.8368e-05,2.865066666666667e-05,2.7648e-05,3.0336e-05
8,0.0006209173333333334,0.00059472,0.000665248,0.0005687040000000001,0.000462528,0.000638912,0.00039681066666666663,0.000386048,0.000403648
9,0.00029888,0.000231872,0.000389088,0.0002987093333333333,0.000231136,0.000389152,0.00019563733333333332,0.000168448,0.000224512
10,6.861866666666667e-05,5.3952e-05,8.2112e-05,6.368e-05,5.3728e-05,6.8736e-05,5.847466666666667e-05,5.3504e-05,6.7264e-05
