testcase_,1_mean,1_min,1_max,2_mean,2_min,2_max,best_mean,best_min,best_max
0,1.5104000000000001e-05,1.1936e-05,1.6864e-05,1.5445333333333333e-05,1.184e-05,1.7632e-05,1.3216000000000002e-05,1.1296e-05,1.6512e-05
1,5.258666666666667e-06,5.088e-06,5.472e-06,5.216e-06,4.832e-06,5.472e-06,4.992e-06,4.832e-06,5.216e-06
2,1.7888e-05,1.7536e-05,1.8112e-05,1.7055999999999997e-05,1.536e-05,1.824e-05,1.4549333333333333e-05,1.3952e-05,1.536e-05
3,8.053333333333333e-06,8e-06,8.096e-06,8.181333333333334e-06,8.16e-06,8.224e-06,7.669333333333333e-06,7.456e-06,7.936e-06
4,1.056e-05,1.0016e-05,1.1584e-05,1.0496e-05,9.344e-06,1.232e-05,9.589333333333333e-06,9.344e-06,9.76e-06
5,2.1525333333333332e-05,1.9424e-05,2.3808e-05,2.114133333333333e-05,1.9424e-05,2.288e-05,2.0138666666666667e-05,1.664e-05,2.288e-05
6,1.0783999999999999e-05,9.216e-06,1.3376e-05,9.962666666666667e-06,9.056e-06,1.12e-05,8.351999999999999e-06,8.256e-06,8.416e-06
7,1.3130666666666668e-05,1.2096e-05,1.3984e-05,1.3141333333333334e-05,1.2096e-05,1.3984e-05,1.3130666666666668e-05,1.2096e-05,1.3984e-05
8,4.106666666666667e-05,3.5808e-05,4.5696e-05,3.886933333333334e-05,3.5456e-05,4.56e-05,3.128533333333334e-05,3.008e-05,3.3472e-05
9,1.1306666666666666e-05,1.0592e-05,1.264e-05,1.1338666666666667e-05,1.0656e-05,1.2672e-05,1.0517333333333333e-05,1.0336e-05,1.0688e-05
10,2.187733333333333e-05,2.1408e-05,2.224e-05,2.0885333333333335e-05,1.9584e-05,2.1824e-05,2.0821333333333333e-05,1.9584e-05,2.1632e-05
11,5.9488000000000004e-05,4.5248e-05,8.4288e-05,5.915733333333333e-05,4.5568e-05,8.3456e-05,4.5770666666666665e-05,4.5248e-05,4.624e-05
12,1.7109333333333332e-05,1.5936e-05,1.8176e-05,1.7002666666666666e-05,1.5808e-05,1.8144e-05,1.690666666666667e-05,1.5744e-05,1.792e-05
